Type,Name,Address,District,,Type,District
MRT Station, Marina South Pier station,"31 Marina Coastal Drive, S(018988)",Central,,,
MRT Station, Marymount Station ,"60 Marymount Road, S(573993)",Central,,,
MRT Station, Maxwell MRT Station (TEL18),"321 South Bridge Road, S(058841",Central,,,
MRT Station, Mayflower MRT Station (TE6),"91 Ang Mo Kio Avenue 4, S(569900)",Central,,,
MRT Station, Napier Road MRT Station (TEL12),"2 Napier Road, S(258511)",Central,,,
MRT Station, Newton MRT station,"49 Scotts Road, S(228234)",Central,,,
MRT Station, Newton MRT Station (DT11),"235 Bukit Timah Road, S(229901)",Central,,,
MRT Station, Nicoll Highway MRT Station,"20 Republic Avenue, S(038970)",Central,,,
MRT Station, Orchard Boulevard MRT Station (TEL13),"20 Orchard Boulevard, S(248654)",Central,,,
MRT Station, Orchard MRT Station,"437 Orchard Road, S(238878)",Central,,,
MRT Station, Orchard MRT Station (TEL14),"301 Orchard Boulevard, S(237974)",Central,,,
MRT Station, Outram MRT Station,"10 Outram Road, S(169037)",Central,,,
MRT Station, Outram MRT Station (NE3),10 Eu Tong Sen Street S(059815),Central,,,
MRT Station, Outram Park MRT Station (TEL17),"13 Outram Road, S(169080)",Central,,,
MRT Station, Potong Pasir MRT Station (NE10),55 Upper Serangoon Rd. S(347694),Central,,,
MRT Station, Promenade MRT Station,"2 Tamasek Avenue, S(039193)",Central,,,
MRT Station, Queenstown MRT Station (EW19),"301 Commonwealth Avenue, S(149729)",Central,,,
MRT Station, Raffles Place MRT Station,"5 Raffles Place, S(048618)",Central,,,
MRT Station, Redhill MRT Station (EW18),"920 Tiong Bahru Road, S(158792)",Central,,,
MRT Station, Rochor MRT Station (DT13),"11 Rochore Canal Road, S(188505)",Central,,,
MRT Station, Shenton Way MRT Station (TEL19),"2 Park Street, S(018928)",Central,,,
MRT Station, Steven Road MRT Station (DT10),"92 Steven Road, S(257877)",Central,,,
MRT Station, Steven Road MRT Station (TEL11),"92 Steven Road, S(257877)",Central,,,
MRT Station, Tanjong Pagar MRT Station,"120 Maxwell Road, S(069119)",Central,,,
MRT Station, Telok Ayer MRT Station (DT18),"7 Cross Street, S(048416)",Central,,,
