 Farrer Park MRT Station (NE8),"250 Race Course Road, S(218703)",Central,,,
 Farrer Road MRT station,"119, Pasir Panjang Road, S(117424)",Central,,,
 Fort Canning MRT Station (DT20),"170 River Valley Road, S(179038)",Central,,,
 Garden By The Bay MRT Station (TEL22),"11 Marina Mall, S(019396)",Central,,,
 Geylang Bahru MRT Station (DT24),"541 Kallang Bahru, S(339355)",Central,,,
 Great World Station (TEL15),"351 River Valley Road, S(238384)",Central,,,
 HarbourFront MRT Station (NE1),"81 Telok Blangah Road, S(098867)",Central,,,
 Havelock MRT Station (TEL16),"110 Zion Road, S(168604)",Central,,,
 Holland Village MRT station,"262, Pasir Panjang Road, S(118628)",Central,,,
 Jalan Besar MRT Station (DT22),"35B Jalan Besar, S(208800)",Central,,,
" Jalan Besar MRT Station, B1 (DT22)","35B Jalan Besar, S(208800)",Central,,,
 Kallang MRT Station (EW10),"5 Sims Avenue, S(387405)",Central,,,
 Lentor MRT Station (TE5),"1 Lentor Drive, S(789361)",Central,,,
 Little India MRT Station (DT12),"60 Bukit Timah Road, S(229900)",Central,,,
 Little India MRT Station (NE7),"60 Bukit Timah Road, S(229900)",Central,,,
 Marina Bay MRT Station,"21 Marina Station Road, S(018990)",Central,,,
 Marina Bay MRT Station (TEL20),"25 Park Street, S(018929)",Central,,,
 Marina South Pier station,"31 Marina Coastal Drive, S(018988)",Central,,,
 Marymount Station ,"60 Marymount Road, S(573993)",Central,,,
 Maxwell MRT Station (TEL18),"321 South Bridge Road, S(058841",Central,,,
 Mayflower MRT Station (TE6),"91 Ang Mo Kio Avenue 4, S(569900)",Central,,,
 Napier Road MRT Station (TEL12),"2 Napier Road, S(258511)",Central,,,
 Newton MRT station,"49 Scotts Road, S(228234)",Central,,,
 Newton MRT Station (DT11),"235 Bukit Timah Road, S(229901)",Central,,,
 Nicoll Highway MRT Station,"20 Republic Avenue, S(038970)",Central,,,
 Orchard Boulevard MRT Station (TEL13),"20 Orchard Boulevard, S(248654)",Central,,,
 Orchard MRT Station,"437 Orchard Road, S(238878)",Central,,,
 Orchard MRT Station (TEL14),"301 Orchard Boulevard, S(237974)",Central,,,
 Outram MRT Station,"10 Outram Road, S(169037)",Central,,,
 Outram MRT Station (NE3),10 Eu Tong Sen Street S(059815),Central,,,
 Outram Park MRT Station (TEL17),"13 Outram Road, S(169080)",Central,,,
 Potong Pasir MRT Station (NE10),55 Upper Serangoon Rd. S(347694),Central,,,
 Promenade MRT Station,"2 Tamasek Avenue, S(039193)",Central,,,
 Queenstown MRT Station (EW19),"301 Commonwealth Avenue, S(149729)",Central,,,
 Raffles Place MRT Station,"5 Raffles Place, S(048618)",Central,,,
 Redhill MRT Station (EW18),"920 Tiong Bahru Road, S(158792)",Central,,,
 Rochor MRT Station (DT13),"11 Rochore Canal Road, S(188505)",Central,,,
 Shenton Way MRT Station (TEL19),"2 Park Street, S(018928)",Central,,,
 Steven Road MRT Station (DT10),"92 Steven Road, S(257877)",Central,,,
 Steven Road MRT Station (TEL11),"92 Steven Road, S(257877)",Central,,,
 Tanjong Pagar MRT Station,"120 Maxwell Road, S(069119)",Central,,,
 Telok Ayer MRT Station (DT18),"7 Cross Street, S(048416)",Central,,,
 Upper Thomson MRT Station (TE8),"1 Jalan Keli, S(577937)",Central,,,
 Woodleigh MRT Station (NE11),"400 Upper Serangoon Road, S(347695)",Central,,,
 Yio Chu Kang MRT Station (NS15),"3000 Ang Mo Kio Avenue 8, S(569813)",Central,,,
 The Oval Seletar Aerospace Park,"3 Park Lane, S(798387)",Central,,,
 Marina South Pier,"31 Marina Coastal Drive, S(018988)",Central,,,
 St.George's Church,"44 Minden Road, S(248816)",Central,,,
 Lum Chang Building,"14, Kung Chong Road, S(159150)",Central,,,
 Wee Hur Construction Pte Ltd,"39 Kim Keat Road, Wee Hur Building, S(328814)",Central,,,
MTR 1924 Indian Restaurant,"438 Serangoon Road, S(218133)",Central,,,
 Buangkok Square Mall,"991 Buangkok Link, Buangkok Square Mall, S(530991)",Central,,,
 City Square Mall,"180 Kitchener Road, City Square Mall, S(208539)",Central,,,
 Dawson Place Shopping Centre,"57 Dawson Road, S(142057)",Central,,,
 New Bridge Centre,"336, Smith Street, S(050336)",Central,,,
 Palais Renaissance,"390 Orchard Road, S(238871)",Central,,,
 Quayside Isle | Sentosa Island,"31 Ocean Way, S(098375)",Central,,,
 Raffles City Shopping Centre,"252 North Bridge Road, S(179103)",Central,,,
 Robertson Walk,"11, Unity Street, #02-20A, S(237995)",Central,,,
 The Central,"6 Eu Tong Sen Street, S(059817)",Central,,,
 The Shoppes at Marina Bay Sands,"2 Bayfront Avenue, S(018972)",Central,,,
 Tiong Bahru Plaza,"302 Tiong Bahru Road, S(168732)",Central,,,
 Valley Point Mall,"491 River Valley Road, S(248371)",Central,,,
 ArBora Cafe,"109 Mount Faber Road, Level 2, S(099230)",Central,,,
 Merlion Park@Fullerton ,"1 Fullerton Road, S(049178)",Central,,,
 Mount Faber Peak,"109 Mount Faber Road, Level 1, S(099230)",Central,,,
 Sentosa Beach Station ,"33 Allanbroke Road, Sentosa, S(099981)",Central,,,
 Sentosa Boardwalk,Sentosa Boardwalk,Central,,,
 Sentosa Imbiah Lookout,"Imbiah Lookout, Sentosa, S(099538)",Central,,,
